sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1
0,39.0,2,2,4,1,0,10,6,3,2,1,FDP,1
0,43.0,2,2,3,1,0,2,3,1,1,1,SP,1
0,33.0,6,2,1,1,0,2,5,1,2,1,SP,2
1,78.0,6,2,4,1,0,8,7,1,2,1,SP,1
1,76.0,6,2,1,1,0,8,7,1,1,1,SP,2
1,35.0,6,2,1,1,0,2,7,3,0,1,SP,2
1,30.0,7,2,2,1,0,2,3,4,4,1,SP,1
1,75.0,3,2,1,1,0,2,3,2,2,1,CVP,2
0,43.0,3,2,2,1,0,2,7,1,2,1,SP,1
0,20.0,2,2,4,1,0,2,3,3,2,1,FDP,2
0,68.0,6,2,4,1,0,8,5,3,0,1,SP,2
0,61.0,6,2,1,1,0,2,5,2,0,1,SP,2
0,74.0,6,2,4,1,0,8,3,2,1,1,FDP,2
0,56.0,6,2,4,1,0,2,3,4,4,1,SP,2
0,62.0,3,2,4,1,0,4,0,3,3,1,FDP,2
1,43.0,4,2,4,1,0,2,6,2,3,1,SP,2
1,49.0,4,2,1,1,0,2,6,2,4,1,FDP,2
1,34.0,3,2,4,1,0,2,2,3,3,1,SVP,2
1,54.0,4,2,1,1,0,2,4,4,3,1,FDP,2
1,28.0,4,2,4,1,0,2,6,4,4,1,SP,2
0,51.0,7,2,4,1,0,2,6,2,3,1,EVP,2
0,20.0,7,2,4,1,0,2,4,3,4,1,SP,2
1,45.0,6,2,1,1,0,2,2,1,2,1,FDP,2
0,0.0,7,2,4,1,0,4,2,2,1,1,FDP,2
1,31.0,4,2,4,1,0,2,6,2,2,1,SP,2
1,58.0,2,2,1,2,0,2,7,2,3,1,SP,1
1,23.0,7,2,1,2,0,2,6,3,2,1,CVP,2
1,61.0,6,2,1,2,0,2,6,3,2,1,FDP,1
1,51.0,6,2,1,2,0,2,5,3,0,1,CVP,2
1,58.0,2,2,1,2,0,2,6,2,4,1,CVP,1
0,32.0,2,2,4,2,0,4,4,2,2,1,SP,2
0,29.0,6,2,1,2,0,2,6,2,2,1,SVP,1
0,66.0,2,2,4,2,0,4,6,2,1,1,FDP,2
0,51.0,6,2,1,2,0,2,4,2,1,1,CVP,2
0,25.0,2,2,4,2,0,4,4,2,1,1,SP,2
1,85.0,3,2,4,2,0,8,6,4,2,1,SVP,2
1,61.0,6,2,4,2,0,2,6,4,2,1,SP,2
1,49.0,2,2,4,2,0,2,6,2,2,1,EVP,2
1,76.0,6,2,4,2,0,8,7,4,4,1,SP,2
0,39.0,3,2,4,2,0,4,3,2,3,1,SVP,2
1,62.0,4,2,1,2,0,2,6,2,2,1,FDP,2
1,47.0,7,2,4,2,0,2,6,4,4,1,EVP,2
0,61.0,6,2,4,2,0,2,5,1,1,1,SVP,2
0,47.0,6,2,4,2,0,2,5,1,1,1,SP,2
0,66.0,6,2,2,2,0,8,2,4,3,1,SP,2
0,51.0,2,2,3,2,0,5,4,1,1,1,SP,2
0,54.0,6,2,1,2,0,2,5,3,1,1,CVP,2
0,48.0,2,2,4,2,0,2,6,3,4,1,SP,1
0,23.0,6,2,4,2,0,2,4,3,2,1,SP,2
0,62.0,2,2,4,2,0,4,4,2,1,1,SP,2
1,82.0,6,2,4,2,0,8,7,4,0,1,SP,2
1,0.0,2,2,1,2,0,8,6,2,3,1,FDP,2
1,44.0,2,2,1,2,0,2,6,4,1,1,CVP,2
1,33.0,6,2,1,2,0,3,2,3,1,1,FDP,1
0,65.0,2,2,1,2,0,4,4,2,1,1,FDP,2
0,70.0,2,2,1,2,0,2,4,4,1,1,CVP,2
0,45.0,2,2,1,2,0,4,4,3,1,1,CVP,2
0,63.0,2,2,1,2,0,4,0,2,2,1,FDP,2
0,62.0,2,2,4,2,0,4,4,3,0,1,FDP,2
0,51.0,2,2,1,2,0,2,6,2,4,1,CVP,2
0,58.0,3,2,1,2,0,4,4,2,2,1,CVP,2
1,0.0,2,2,4,2,0,2,4,3,2,1,SP,2
1,48.0,3,2,4,2,0,2,2,1,3,1,FDP,2
1,60.0,6,2,4,2,0,2,6,3,3,1,SP,2
0,45.0,6,2,4,2,0,4,6,2,3,1,FDP,2
0,47.0,2,2,4,2,0,2,2,4,3,1,FDP,2
0,59.0,6,2,1,2,0,4,5,1,1,1,SP,2
0,41.0,6,2,1,2,0,4,0,1,2,1,SP,2
0,43.0,2,2,1,2,0,2,2,4,2,1,SP,2
0,46.0,2,2,4,2,0,4,6,2,3,1,FDP,2
0,72.0,0,2,0,0,0,10,0,1,0,1,FDP,1
0,67.0,6,2,4,2,0,10,2,2,3,1,EVP,2
1,65.0,6,2,4,2,0,10,2,2,4,1,SVP,1
