sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
1,39.0,2,2,4,1,0,10,6,3,2,2,FDP,1,0
1,48.0,6,2,4,1,0,4,3,3,2,2,PdA,2,0
1,43.0,2,2,3,1,0,2,3,1,1,2,SP,1,0
1,33.0,6,2,1,1,0,2,5,1,2,2,SP,2,0
2,78.0,6,2,4,1,0,8,7,1,2,2,SP,1,0
2,41.0,6,2,2,1,0,2,7,3,3,2,PdA,2,0
2,76.0,6,2,1,1,0,8,7,1,1,2,SP,2,0
2,35.0,6,2,1,1,0,2,7,3,0,2,SP,2,0
2,30.0,7,2,2,1,0,2,3,4,4,2,SP,1,0
2,75.0,3,2,1,1,0,2,3,2,2,2,CVP,2,0
1,43.0,3,2,2,1,0,2,7,1,2,2,SP,1,0
1,20.0,2,2,4,1,0,2,3,3,2,2,FDP,2,0
1,68.0,6,2,4,1,0,8,5,3,0,2,SP,2,0
1,61.0,6,2,1,1,0,2,5,2,0,2,SP,2,0
1,74.0,6,2,4,1,0,8,3,2,1,2,FDP,2,0
1,56.0,6,2,4,1,0,2,3,4,4,2,SP,2,0
1,62.0,3,2,4,1,0,4,0,3,3,2,FDP,2,0
2,43.0,4,2,4,1,0,2,6,2,3,2,SP,2,0
2,49.0,4,2,1,1,0,2,6,2,4,2,FDP,2,0
2,34.0,3,2,4,1,0,2,2,3,3,2,SVP,2,0
2,54.0,4,2,1,1,0,2,4,4,3,2,FDP,2,0
2,28.0,4,2,4,1,0,2,6,4,4,2,SP,2,0
1,51.0,7,2,4,1,0,2,6,2,3,2,EVP,2,0
1,20.0,7,2,4,1,0,2,4,3,4,2,SP,2,0
2,45.0,6,2,1,1,0,2,2,1,2,2,FDP,2,0
1,0.0,7,2,4,1,0,4,2,2,1,2,FDP,2,0
2,31.0,4,2,4,1,0,2,6,2,2,2,SP,2,0
2,58.0,2,2,1,2,0,2,7,2,3,2,SP,1,0
2,23.0,7,2,1,2,0,2,6,3,2,2,CVP,2,0
2,61.0,6,2,1,2,0,2,6,3,2,2,FDP,1,0
2,51.0,6,2,1,2,0,2,5,3,0,2,CVP,2,0
2,58.0,2,2,1,2,0,2,6,2,4,2,CVP,1,0
1,32.0,2,2,4,2,0,4,4,2,2,2,SP,2,0
1,29.0,6,2,1,2,0,2,6,2,2,2,SVP,1,0
1,66.0,2,2,4,2,0,4,6,2,1,2,FDP,2,0
1,51.0,6,2,1,2,0,2,4,2,1,2,CVP,2,0
1,25.0,2,2,4,2,0,4,4,2,1,2,SP,2,0
2,85.0,3,2,4,2,0,8,6,4,2,2,SVP,2,0
2,61.0,6,2,4,2,0,2,6,4,2,2,SP,2,0
2,49.0,2,2,4,2,0,2,6,2,2,2,EVP,2,0
2,76.0,6,2,4,2,0,8,7,4,4,2,SP,2,0
2,43.0,2,2,4,2,0,2,6,4,4,2,PdA,2,0
1,39.0,3,2,4,2,0,4,3,2,3,2,SVP,2,0
2,62.0,4,2,1,2,0,2,6,2,2,2,FDP,2,0
2,47.0,7,2,4,2,0,2,6,4,4,2,EVP,2,0
1,61.0,6,2,4,2,0,2,5,1,1,2,SVP,2,0
1,47.0,6,2,4,2,0,2,5,1,1,2,SP,2,0
1,66.0,6,2,2,2,0,8,2,4,3,2,SP,2,0
1,51.0,2,2,3,2,0,5,4,1,1,2,SP,2,0
1,54.0,6,2,1,2,0,2,5,3,1,2,CVP,2,0
1,48.0,2,2,4,2,0,2,6,3,4,2,SP,1,0
1,23.0,6,2,4,2,0,2,4,3,2,2,SP,2,0
1,62.0,2,2,4,2,0,4,4,2,1,2,SP,2,0
2,82.0,6,2,4,2,0,8,7,4,0,2,SP,2,0
2,0.0,2,2,1,2,0,8,6,2,3,2,FDP,2,0
2,44.0,2,2,1,2,0,2,6,4,1,2,CVP,2,0
2,33.0,6,2,1,2,0,3,2,3,1,2,FDP,1,0
1,65.0,2,2,1,2,0,4,4,2,1,2,FDP,2,0
1,70.0,2,2,1,2,0,2,4,4,1,2,CVP,2,0
1,45.0,2,2,1,2,0,4,4,3,1,2,CVP,2,0
1,63.0,2,2,1,2,0,4,0,2,2,2,FDP,2,0
1,62.0,2,2,4,2,0,4,4,3,0,2,FDP,2,0
1,51.0,2,2,1,2,0,2,6,2,4,2,CVP,2,0
1,58.0,3,2,1,2,0,4,4,2,2,2,CVP,2,0
2,0.0,2,2,4,2,0,2,4,3,2,2,SP,2,0
2,48.0,3,2,4,2,0,2,2,1,3,2,FDP,2,0
2,60.0,6,2,4,2,0,2,6,3,3,2,SP,2,0
1,45.0,6,2,4,2,0,4,6,2,3,2,FDP,2,0
1,47.0,2,2,4,2,0,2,2,4,3,2,FDP,2,0
1,59.0,6,2,1,2,0,4,5,1,1,2,SP,2,0
1,29.0,2,2,1,2,0,4,0,3,1,2,CSP,2,0
1,41.0,6,2,1,2,0,4,0,1,2,2,SP,2,0
1,43.0,2,2,1,2,0,2,2,4,2,2,SP,2,0
1,46.0,2,2,4,2,0,4,6,2,3,2,FDP,2,0
1,72.0,0,2,0,0,0,10,0,1,0,2,FDP,1,0
1,67.0,6,2,4,2,0,10,2,2,3,2,EVP,2,0
2,65.0,6,2,4,2,0,10,2,2,4,2,SVP,1,0
2,31.0,2,2,1,2,0,2,6,4,4,2,CVP,2,0
